,track_name,album,artist,release_date,length,popularity,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,genre,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,predicted_genre,actual_genre
4086,Good For You,Good For You,Porridge Radio,2020-07-02,215580,44,0.331,0.8740000000000001,7,-7.521,0,0.06,0.317,0.000408,0.342,0.414,169.82299999999995,4,Rock,0.331,0.8740000000000001,7.0,-7.521,0.0,0.06,0.317,0.000408,0.342,0.414,169.82299999999995,4.0,1.0,1.0
4088,I'm So Wet,I'm So Wet,Avalanche Party,2017-05-12,279400,10,0.237,0.795,0,-5.285,1,0.0826,0.00519,3.03e-06,0.2189999999999999,0.409,98.23100000000001,4,Rock,0.237,0.795,0.0,-5.285,1.0,0.0826,0.00519,3.03e-06,0.2189999999999999,0.409,98.23100000000001,4.0,1.0,1.0
4096,Misunderstood,Misunderstood,Youth Club,2017-08-18,168788,27,0.753,0.755,1,-6.831,0,0.0374,0.0418,0.0,0.14,0.7559999999999999,119.012,4,Rock,0.753,0.755,1.0,-6.831,0.0,0.0374,0.0418,0.0,0.14,0.7559999999999999,119.012,4.0,3.0,1.0
4108,5000 Miles,Lie Out Loud,BLOXX,2020-08-28,211892,43,0.465,0.899,7,-3.4810000000000003,0,0.0773,0.000669,9.53e-05,0.152,0.513,154.953,4,Rock,0.465,0.899,7.0,-3.4810000000000003,0.0,0.0773,0.000669,9.53e-05,0.152,0.513,154.953,4.0,1.0,1.0
4125,She Takes Her Time,SPINN EP,SPINN,2018-04-06,179977,33,0.54,0.909,8,-6.148,1,0.0843,0.142,0.00045700000000000005,0.0874,0.797,175.082,4,Rock,0.54,0.909,8.0,-6.148,1.0,0.0843,0.142,0.00045700000000000005,0.0874,0.797,175.082,4.0,3.0,1.0
4129,Take Care,That's Your Lot,Blaenavon,2017-04-07,289120,32,0.37200000000000005,0.659,1,-8.141,0,0.045,0.0559,0.00112,0.371,0.345,128.286,4,Rock,0.37200000000000005,0.659,1.0,-8.141,0.0,0.045,0.0559,0.00112,0.371,0.345,128.286,4.0,1.0,1.0
4130,Monday,Monday,Corella,2021-03-26,175928,27,0.478,0.8109999999999999,9,-5.066,1,0.0418,0.00639,2.8899999999999998e-05,0.059000000000000004,0.396,96.979,4,Rock,0.478,0.8109999999999999,9.0,-5.066,1.0,0.0418,0.00639,2.8899999999999998e-05,0.059000000000000004,0.396,96.979,4.0,1.0,1.0
4136,Way Down,Way Down,RedFaces,2018-08-03,177811,21,0.624,0.6990000000000001,11,-7.66,1,0.0543,0.0211,0.0,0.17800000000000002,0.654,84.984,4,Rock,0.624,0.6990000000000001,11.0,-7.66,1.0,0.0543,0.0211,0.0,0.17800000000000002,0.654,84.984,4.0,3.0,1.0
4137,Wild Guess,Non-Fiction,Spector,2020-06-05,162293,38,0.682,0.59,3,-6.504,1,0.031,0.0451,0.00836,0.102,0.583,115.584,4,Rock,0.682,0.59,3.0,-6.504,1.0,0.031,0.0451,0.00836,0.102,0.583,115.584,4.0,1.0,1.0
4140,Honey Sweet,Blossoms,Blossoms,2016-08-05,215647,57,0.5720000000000001,0.713,4,-6.146,0,0.0368,0.0337,0.0033,0.34,0.608,109.99,4,Rock,0.5720000000000001,0.713,4.0,-6.146,0.0,0.0368,0.0337,0.0033,0.34,0.608,109.99,4.0,1.0,1.0
